Make,Model,Variant,Price,Displacement,Sales2022,Sales2021,Color,Highest_sales_state,Cylinders,Emission_Norm,Fuel_Tank_Capacity_ltr,Fuel_Type,Body_Type,Doors,Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_Rim,Rear_Tyre_Rim,Power_Steering,Power_Windows,Power,Torque,Seating_Capacity,Boot_Space_ltr
Tata,Nano Genx,Xt,292.667 ,624 cc,16.919,26.39,black,new jersey,2,BS IV,24,Petrol,Hatchback,5,23.6 km/litre,4,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,4,110
Tata,Nano Genx,Xe,236.447 ,624 cc,39.384,35.17,silver,tennessee,2,BS IV,24,Petrol,Hatchback,5,23.6 km/litre,4,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,,,38PS@5500rpm,51Nm@4000rpm,4,110
Tata,Nano Genx,Emax Xm,296.661 ,624 cc,14.114,34.7,silver,georgia,2,BS IV,15,CNG,Hatchback,4,,4,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,4,110
Tata,Nano Genx,Xta,334.768 ,624 cc,8.588,38.5,blue,virginia,2,BS IV,24,Petrol,Hatchback,5,23.6 km/litre,5,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,4,94
Tata,Nano Genx,Xm,272.223 ,624 cc,20.397,29.98,maroon,florida,2,BS IV,24,Petrol,Hatchback,5,23.6 km/litre,4,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,4,110
Tata,Nano Genx,Xma,314.815 ,624 cc,18.78,35.61,caramel,texas,2,BS IV,24,Petrol,Hatchback,5,23.6 km/litre,5,180 mm,Drum,Drum,Independent Lower Wishbone McPherson Strut with gas filled dampers and anti-roll bar,Independent Semi Trailing arm with coil spring & gas filled shock absorbers,135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,4,94
Datsun,marooni-Go,D,279.650 ,799 cc,11.38,39.02,black,georgia,3,BS IV,28,Petrol,Hatchback,5,21.38 km/litre,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,,,54PS@5678rpm,72Nm@4386rpm,5,222
Datsun,marooni-Go,T,351.832 ,799 cc,19.747,31.79,gray,california,3,BS IV,28,Petrol,Hatchback,5,21.38 km/litre,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,5,222
Datsun,marooni-Go,A,333.419 ,799 cc,9.231,31.97,silver,florida,3,BS IV,28,Petrol,Hatchback,5,21.38 km/litre,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,5,222
Datsun,marooni-Go,S,362.000 ,799 cc,17.527,34.72,black,texas,3,BS IV,28,Petrol,Hatchback,5,21.38 km/litre,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,5,222
